time,high,low,open,close,volume
2021-05-17,4.16,4.16,4.16,4.16,304.0
2021-05-17,4.28,4.15,4.15,4.28,701.0
2021-05-17,4.13,4.11,4.13,4.11,449.0
2021-05-17,4.3,4.3,4.3,4.3,831.0
2021-05-17,4.33,4.33,4.33,4.33,262.0
2021-05-17,4.12,4.11,4.12,4.11,786.0
2021-05-17,4.11,4.11,4.11,4.11,105.0
2021-05-17,4.13,4.12,4.13,4.13,746.0
2021-05-17,4.2,4.13,4.13,4.2,1099.0
2021-05-17,4.23,4.2,4.2,4.23,1390.0
2021-05-17,4.15,4.15,4.15,4.15,100.0
2021-05-17,4.15,4.14,4.15,4.14,263.0
2021-05-17,4.15,4.15,4.15,4.15,421.0
2021-05-17,4.15,4.15,4.15,4.15,681.0
2021-05-17,4.22,4.21,4.21,4.22,680.0
2021-05-17,4.22,4.22,4.22,4.22,110.0
2021-05-17,4.25,4.24,4.25,4.24,300.0
2021-05-17,4.3,4.26,4.26,4.3,675.0
2021-05-17,4.31,4.31,4.31,4.31,203.0
2021-05-17,4.31,4.31,4.31,4.31,2164.0
2021-05-17,4.36,4.3,4.3,4.36,1316.0
2021-05-17,4.36,4.36,4.36,4.36,386.0
2021-05-17,4.36,4.36,4.36,4.36,185.0
2021-05-17,4.36,4.29,4.36,4.36,496.0
2021-05-17,4.39,4.38,4.38,4.39,229.0
2021-05-17,4.26,4.25,4.26,4.25,209.0
2021-05-17,4.26,4.25,4.26,4.25,845.0
2021-05-17,4.23,4.22,4.23,4.22,460.0
2021-05-17,4.2,4.14,4.16,4.14,1409.0
2021-05-17,4.16,4.14,4.16,4.15,2096.0
2021-05-17,4.17,4.17,4.17,4.17,183.0
2021-05-17,4.29,4.28,4.28,4.29,312.0
2021-05-17,4.22,4.22,4.22,4.22,118.0
2021-05-17,4.31,4.27,4.27,4.28,1462.0
2021-05-17,4.2,4.19,4.2,4.19,443.0
2021-05-17,4.21,4.19,4.21,4.19,260.0
2021-05-17,4.19,4.18,4.19,4.18,1213.0
2021-05-17,4.19,4.19,4.19,4.19,131.0
2021-05-17,4.24,4.24,4.24,4.24,250.0
2021-05-17,4.2,4.2,4.2,4.2,114.0
2021-05-17,4.2,4.2,4.2,4.2,118.0
2021-05-17,4.19,4.18,4.19,4.19,2259.0
2021-05-17,4.32,4.21,4.21,4.32,6766.0
2021-05-17,4.4,4.33,4.34,4.4,5793.0
2021-05-17,4.41,4.4,4.4,4.4,2489.0
2021-05-17,4.42,4.4,4.4,4.42,725.0
2021-05-17,4.42,4.35,4.42,4.4,1150.0
2021-05-17,4.42,4.4,4.42,4.4,1523.0
