time,high,low,open,close,volume
2021-05-17,5.16,5.16,5.16,5.16,304
2021-05-17,5.2,5.18,5.2,5.19,6639
2021-05-17,5.5,5.11,5.18,5.5,6518
2021-05-17,5.35,5.33,5.33,5.34,1300
2021-05-17,5.3,5.28,5.28,5.3,201
2021-05-17,5.272,5.12,5.12,5.272,2950
2021-05-17,5.13,5.13,5.13,5.13,110
2021-05-17,5.26,5.195,5.195,5.26,261
2021-05-17,5.2,5.2,5.2,5.2,211
2021-05-17,5.2,5.2,5.2,5.2,1318
2021-05-17,5.245,5.245,5.245,5.245,670
2021-05-17,5.24,5.24,5.24,5.24,128
2021-05-17,5.24,5.24,5.24,5.24,100
2021-05-17,5.26,5.25,5.25,5.26,315
2021-05-17,5.32,5.32,5.32,5.32,417
2021-05-17,5.37,5.37,5.37,5.37,293
2021-05-17,5.38,5.38,5.38,5.38,880
2021-05-17,5.27,5.27,5.27,5.27,100
2021-05-17,5.28,5.28,5.28,5.28,100
2021-05-17,5.25,5.25,5.25,5.25,100
2021-05-17,5.24,5.24,5.24,5.24,129
2021-05-17,5.24,5.24,5.24,5.24,100
2021-05-17,5.19,5.19,5.19,5.19,524
2021-05-17,5.23,5.2,5.2,5.23,400
2021-05-17,5.19,5.19,5.19,5.19,219
2021-05-17,5.19,5.19,5.19,5.19,381
2021-05-17,5.2,5.2,5.2,5.2,105
2021-05-17,5.19,5.19,5.19,5.19,100
2021-05-17,5.21,5.21,5.21,5.21,155
2021-05-17,5.19,5.19,5.19,5.19,100
2021-05-17,5.2,5.2,5.2,5.2,300
2021-05-17,5.19,5.19,5.19,5.19,100
2021-05-17,5.19,5.16,5.19,5.16,1925
2021-05-17,5.15,5.15,5.15,5.15,115
2021-05-17,5.15,5.15,5.15,5.15,328
2021-05-17,5.18,5.18,5.18,5.18,134
2021-05-17,5.19,5.17,5.17,5.19,347
2021-05-17,5.18,5.18,5.18,5.18,100
2021-05-17,5.17,5.17,5.17,5.17,120
2021-05-17,5.15,5.15,5.15,5.15,100
2021-05-17,5.15,5.15,5.15,5.15,720
2021-05-17,5.15,5.15,5.15,5.15,263
2021-05-17,5.15,5.15,5.15,5.15,124
2021-05-17,5.15,5.11,5.15,5.11,3052
2021-05-17,5.135,5.11,5.135,5.11,505
2021-05-17,5.135,5.135,5.135,5.135,110
2021-05-17,5.12,5.12,5.12,5.12,269
2021-05-17,5.12,5.12,5.12,5.12,107
2021-05-17,5.135,5.12,5.12,5.135,585
2021-05-17,5.11,5.06,5.11,5.06,1829
2021-05-17,5.3,5.3,5.3,5.3,395
2021-05-18,5.55,5.5,5.5,5.55,2412
2021-05-18,5.51,5.51,5.51,5.51,1045
2021-05-18,5.55,5.55,5.55,5.55,1805
2021-05-18,5.55,5.55,5.55,5.55,1752
2021-05-18,5.56,5.558,5.558,5.56,388
2021-05-18,5.58,5.58,5.58,5.58,100
2021-05-18,5.63,5.6,5.6,5.63,2394
2021-05-18,5.665,5.6401,5.6401,5.665,3110
2021-05-18,5.67,5.67,5.67,5.67,600
2021-05-18,5.648,5.6,5.648,5.6009,4574
2021-05-18,5.64,5.5301,5.64,5.54,5962
2021-05-18,5.6,5.6,5.6,5.6,500
2021-05-18,5.6701,5.6701,5.6701,5.6701,1000
2021-05-18,5.6978,5.6978,5.6978,5.6978,190
2021-05-18,5.69,5.66,5.69,5.66,3840
2021-05-18,5.6699,5.64,5.6699,5.64,400
2021-05-18,5.6699,5.61,5.6699,5.61,700
2021-05-18,5.6599,5.6599,5.6599,5.6599,100
2021-05-18,5.66,5.66,5.66,5.66,307
2021-05-18,5.7619,5.67,5.67,5.7619,2774
2021-05-18,5.75,5.75,5.75,5.75,322
2021-05-18,5.75,5.75,5.75,5.75,1904
2021-05-18,6.04,5.71,5.83,6.0201,27808
2021-05-18,6.1,6.0264,6.0264,6.1,6856
2021-05-18,6.1,6.0501,6.0501,6.0701,2920
2021-05-18,6.18,6.0701,6.1,6.0701,4652
2021-05-18,6.09,6.0,6.0701,6.0101,21702
2021-05-18,6.0387,6.025,6.0387,6.025,1490
2021-05-18,6.27,6.04,6.04,6.16,13418
2021-05-18,6.39,6.25,6.25,6.39,788
2021-05-18,6.33,6.25,6.33,6.25,4715
2021-05-18,6.25,6.14,6.25,6.14,1181
2021-05-18,6.15,6.14,6.14,6.15,1718
2021-05-18,6.14,6.14,6.14,6.14,103
2021-05-18,6.09,6.08,6.09,6.08,1886
2021-05-18,6.1,6.05,6.1,6.05,1643
2021-05-18,6.06,6.05,6.05,6.06,835
2021-05-18,6.14,6.05,6.05,6.12,2116
2021-05-18,6.2292,6.2292,6.2292,6.2292,247
2021-05-18,6.2303,6.2303,6.2303,6.2303,1077
2021-05-18,6.26,6.22,6.26,6.22,1753
2021-05-18,6.15,6.1287,6.1287,6.1438,1304
2021-05-18,6.22,6.22,6.22,6.22,186
2021-05-18,6.229,6.229,6.229,6.229,895
2021-05-18,6.22,6.2165,6.2165,6.22,358
2021-05-18,6.22,6.22,6.22,6.22,684
2021-05-18,6.23,6.2,6.23,6.21,3058
2021-05-18,6.25,6.225,6.24,6.225,316
2021-05-18,6.25,6.25,6.25,6.25,240
2021-05-18,6.25,6.25,6.25,6.25,945
2021-05-18,6.3,6.245,6.25,6.3,3691
2021-05-18,6.29,6.2406,6.25,6.26,1350
2021-05-18,6.29,6.25,6.29,6.27,1947
2021-05-18,6.31,6.26,6.29,6.29,3133
2021-05-18,6.31,6.27,6.31,6.27,484
2021-05-18,6.295,6.295,6.295,6.295,390
2021-05-18,6.3299,6.26,6.3299,6.26,301
2021-05-18,6.235,6.21,6.235,6.23,1735
2021-05-18,6.24,6.2,6.2,6.2348,1686
2021-05-18,6.24,6.24,6.24,6.24,312
2021-05-18,6.25,6.24,6.24,6.25,1630
2021-05-18,6.33,6.32,6.33,6.33,662
