time,high,low,open,close,volume
2021-05-17,8.38,8.38,8.38,8.38,2280.0
2021-05-17,8.38,8.38,8.38,8.38,337.0
2021-05-17,8.33,8.33,8.33,8.33,106.0
2021-05-17,8.31,8.31,8.31,8.31,100.0
2021-05-17,8.36,8.36,8.36,8.36,103.0
2021-05-17,8.4559,8.4559,8.4559,8.4559,500.0
2021-05-17,8.4387,8.4387,8.4387,8.4387,520.0
2021-05-17,8.44,8.4,8.4,8.44,400.0
2021-05-17,8.42,8.4,8.4,8.42,635.0
2021-05-17,8.32,8.32,8.32,8.32,115.0
2021-05-17,8.34,8.34,8.34,8.34,106.0
2021-05-17,8.34,8.34,8.34,8.34,112.0
2021-05-17,8.375,8.375,8.375,8.375,1042.0
2021-05-17,8.3448,8.3448,8.3448,8.3448,167.0
2021-05-17,8.36,8.34,8.36,8.34,566.0
2021-05-17,8.34,8.33,8.34,8.33,4200.0
2021-05-17,8.35,8.35,8.35,8.35,133.0
2021-05-17,8.33,8.31,8.3176,8.33,555.0
2021-05-17,8.325,8.3,8.325,8.3,781.0
2021-05-17,8.32,8.29,8.32,8.29,217.0
2021-05-17,8.3,8.3,8.3,8.3,1891.0
2021-05-17,8.28,8.28,8.28,8.28,412.0
2021-05-17,8.29,8.29,8.29,8.29,181.0
2021-05-17,8.28,8.275,8.28,8.275,912.0
2021-05-17,8.28,8.2797,8.28,8.2797,428.0
2021-05-17,8.27,8.25,8.27,8.25,419.0
2021-05-17,8.24,8.24,8.24,8.24,1156.0
2021-05-17,8.2,8.2,8.2,8.2,122.0
2021-05-17,8.23,8.226,8.226,8.23,912.0
2021-05-17,8.24,8.24,8.24,8.24,201.0
2021-05-17,8.23,8.23,8.23,8.23,1000.0
2021-05-17,8.21,8.21,8.21,8.21,105.0
2021-05-17,8.21,8.21,8.21,8.21,105.0
2021-05-17,8.22,8.22,8.22,8.22,400.0
2021-05-17,8.215,8.215,8.215,8.215,1105.0
2021-05-17,8.221,8.221,8.221,8.221,1000.0
2021-05-17,8.2029,8.2029,8.2029,8.2029,1001.0
2021-05-17,8.24,8.22,8.23,8.24,1687.0
2021-05-17,8.231,8.23,8.231,8.23,686.0
2021-05-17,8.23,8.23,8.23,8.23,430.0
2021-05-17,8.23,8.22,8.23,8.22,1474.0
2021-05-17,8.22,8.21,8.22,8.21,500.0
2021-05-17,8.22,8.22,8.22,8.22,100.0
2021-05-17,8.22,8.22,8.22,8.22,2000.0
2021-05-17,8.22,8.22,8.22,8.22,1000.0
2021-05-17,8.22,8.22,8.22,8.22,1000.0
2021-05-17,8.22,8.216,8.216,8.22,3018.0
2021-05-17,8.22,8.22,8.22,8.22,148.0
2021-05-17,8.22,8.22,8.22,8.22,6664.0
2021-05-17,8.2,8.2,8.2,8.2,766.0
2021-05-17,8.18,8.18,8.18,8.18,491.0
2021-05-17,8.21,8.15,8.21,8.15,3100.0
2021-05-17,8.2,8.2,8.2,8.2,100.0
2021-05-17,8.2,8.185,8.185,8.2,465.0
2021-05-17,8.23,8.23,8.23,8.23,102.0
2021-05-17,8.205,8.205,8.205,8.205,501.0
2021-05-17,8.29,8.2365,8.24,8.29,896.0
2021-05-17,8.29,8.29,8.29,8.29,101.0
2021-05-17,8.26,8.26,8.26,8.26,102.0
2021-05-17,8.29,8.29,8.29,8.29,117.0
2021-05-17,8.28,8.28,8.28,8.28,102.0
2021-05-17,8.31,8.295,8.295,8.31,5030.0
2021-05-17,8.31,8.31,8.31,8.31,566.0
2021-05-17,8.38,8.37,8.37,8.38,665.0
2021-05-17,8.4,8.4,8.4,8.4,202.0
2021-05-17,8.45,8.45,8.45,8.45,103.0
2021-05-17,8.45,8.45,8.45,8.45,127.0
2021-05-17,8.45,8.45,8.45,8.45,1677.0
2021-05-17,8.48,8.48,8.48,8.48,435.0
2021-05-17,8.48,8.46,8.46,8.48,1362.0
2021-05-17,8.5,8.5,8.5,8.5,214.0
2021-05-17,8.5,8.5,8.5,8.5,1372.0
2021-05-17,8.55,8.55,8.55,8.55,410.0
2021-05-17,8.532,8.52,8.52,8.53,740.0
2021-05-17,8.53,8.52,8.53,8.52,1010.0
2021-05-17,8.51,8.51,8.51,8.51,373.0
2021-05-17,8.5,8.49,8.5,8.5,3794.0
2021-05-17,8.5028,8.5028,8.5028,8.5028,1000.0
2021-05-17,8.51,8.51,8.51,8.51,772.0
2021-05-17,8.52,8.5,8.52,8.5,822.0
2021-05-17,8.51,8.5,8.5,8.51,481.0
2021-05-17,8.5,8.5,8.5,8.5,142.0
2021-05-17,8.5,8.5,8.5,8.5,123.0
2021-05-17,8.5,8.5,8.5,8.5,300.0
2021-05-17,8.513,8.5,8.513,8.5,900.0
2021-05-17,8.507,8.49,8.49,8.507,709.0
2021-05-17,8.5,8.495,8.495,8.5,1054.0
2021-05-17,8.5,8.5,8.5,8.5,638.0
2021-05-17,8.52,8.5,8.5,8.52,1057.0
2021-05-17,8.55,8.52,8.55,8.52,1714.0
2021-05-17,8.51,8.51,8.51,8.51,207.0
2021-05-17,10.9,9.1,9.97,10.45,3299.0
2021-05-17,11.3,9.31,9.31,11.3,14875.0
2021-05-17,11.3,10.6,10.78,10.88,19519.0
2021-05-17,10.99,10.66,10.88,10.8,20499.0
2021-05-17,10.89,10.62,10.76,10.89,15206.0
2021-05-17,10.9,10.74,10.9,10.9,9252.0
2021-05-17,11.4,10.95,10.95,11.2,28066.0
